Size,Type,Algorithm,Time_microseconds
500,Random,Standard Merge Sort,1097
500,Random,Hybrid Merge+Insertion Sort,257
500,Reverse Sorted,Standard Merge Sort,1037
500,Reverse Sorted,Hybrid Merge+Insertion Sort,429
500,Nearly Sorted,Standard Merge Sort,1533
500,Nearly Sorted,Hybrid Merge+Insertion Sort,202
600,Random,Standard Merge Sort,1352
600,Random,Hybrid Merge+Insertion Sort,323
600,Reverse Sorted,Standard Merge Sort,1264
600,Reverse Sorted,Hybrid Merge+Insertion Sort,282
600,Nearly Sorted,Standard Merge Sort,1218
600,Nearly Sorted,Hybrid Merge+Insertion Sort,238
700,Random,Standard Merge Sort,2163
700,Random,Hybrid Merge+Insertion Sort,350
700,Reverse Sorted,Standard Merge Sort,1481
700,Reverse Sorted,Hybrid Merge+Insertion Sort,315
700,Nearly Sorted,Standard Merge Sort,1486
700,Nearly Sorted,Hybrid Merge+Insertion Sort,277
800,Random,Standard Merge Sort,1669
800,Random,Hybrid Merge+Insertion Sort,365
800,Reverse Sorted,Standard Merge Sort,1587
800,Reverse Sorted,Hybrid Merge+Insertion Sort,338
800,Nearly Sorted,Standard Merge Sort,1669
800,Nearly Sorted,Hybrid Merge+Insertion Sort,323
900,Random,Standard Merge Sort,2099
900,Random,Hybrid Merge+Insertion Sort,509
900,Reverse Sorted,Standard Merge Sort,1844
900,Reverse Sorted,Hybrid Merge+Insertion Sort,419
900,Nearly Sorted,Standard Merge Sort,1884
900,Nearly Sorted,Hybrid Merge+Insertion Sort,316
1000,Random,Standard Merge Sort,2184
1000,Random,Hybrid Merge+Insertion Sort,534
1000,Reverse Sorted,Standard Merge Sort,2240
1000,Reverse Sorted,Hybrid Merge+Insertion Sort,480
1000,Nearly Sorted,Standard Merge Sort,2148
1000,Nearly Sorted,Hybrid Merge+Insertion Sort,442
1100,Random,Standard Merge Sort,2570
1100,Random,Hybrid Merge+Insertion Sort,601
1100,Reverse Sorted,Standard Merge Sort,3022
1100,Reverse Sorted,Hybrid Merge+Insertion Sort,556
1100,Nearly Sorted,Standard Merge Sort,2372
1100,Nearly Sorted,Hybrid Merge+Insertion Sort,507
1200,Random,Standard Merge Sort,2659
1200,Random,Hybrid Merge+Insertion Sort,672
1200,Reverse Sorted,Standard Merge Sort,2456
1200,Reverse Sorted,Hybrid Merge+Insertion Sort,560
1200,Nearly Sorted,Standard Merge Sort,2440
1200,Nearly Sorted,Hybrid Merge+Insertion Sort,504
1300,Random,Standard Merge Sort,2847
1300,Random,Hybrid Merge+Insertion Sort,683
1300,Reverse Sorted,Standard Merge Sort,2604
1300,Reverse Sorted,Hybrid Merge+Insertion Sort,597
1300,Nearly Sorted,Standard Merge Sort,2627
1300,Nearly Sorted,Hybrid Merge+Insertion Sort,539
1400,Random,Standard Merge Sort,2941
1400,Random,Hybrid Merge+Insertion Sort,709
1400,Reverse Sorted,Standard Merge Sort,2822
1400,Reverse Sorted,Hybrid Merge+Insertion Sort,754
1400,Nearly Sorted,Standard Merge Sort,2897
1400,Nearly Sorted,Hybrid Merge+Insertion Sort,570
1500,Random,Standard Merge Sort,3215
1500,Random,Hybrid Merge+Insertion Sort,753
1500,Reverse Sorted,Standard Merge Sort,3099
1500,Reverse Sorted,Hybrid Merge+Insertion Sort,673
1500,Nearly Sorted,Standard Merge Sort,3288
1500,Nearly Sorted,Hybrid Merge+Insertion Sort,605
1600,Random,Standard Merge Sort,3392
1600,Random,Hybrid Merge+Insertion Sort,801
1600,Reverse Sorted,Standard Merge Sort,3216
1600,Reverse Sorted,Hybrid Merge+Insertion Sort,713
1600,Nearly Sorted,Standard Merge Sort,3265
1600,Nearly Sorted,Hybrid Merge+Insertion Sort,607
1700,Random,Standard Merge Sort,3908
1700,Random,Hybrid Merge+Insertion Sort,983
1700,Reverse Sorted,Standard Merge Sort,3712
1700,Reverse Sorted,Hybrid Merge+Insertion Sort,788
1700,Nearly Sorted,Standard Merge Sort,3835
1700,Nearly Sorted,Hybrid Merge+Insertion Sort,782
1800,Random,Standard Merge Sort,5445
1800,Random,Hybrid Merge+Insertion Sort,1239
1800,Reverse Sorted,Standard Merge Sort,5196
1800,Reverse Sorted,Hybrid Merge+Insertion Sort,1102
1800,Nearly Sorted,Standard Merge Sort,4572
1800,Nearly Sorted,Hybrid Merge+Insertion Sort,749
